Date	Start Time (Sask)	Start Time (EDT)	Away	Away Score	Home	Home Score
2025-06-07	7:40 PM	9:40 PM	New York Mets	8	Colorado Rockies	1
2025-06-07	8:05 PM	10:05 PM	Baltimore Orioles	7	Athletics	4
2025-06-08	10:10 AM	12:10 PM	Miami Marlins	2	Tampa Bay Rays	3
2025-06-08	11:05 AM	1:05 PM	San Diego Padres	1	Milwaukee Brewers	0
2025-06-08	11:35 AM	1:35 PM	Texas Rangers	4	Washington Nationals	2
2025-06-08	11:35 AM	1:35 PM	Philadelphia Phillies	1	Pittsburgh Pirates	2
2025-06-08	11:40 AM	1:40 PM	Arizona Diamondbacks	2	Cincinnati Reds	4
2025-06-08	11:40 AM	1:40 PM	Chicago Cubs	0	Detroit Tigers	4
2025-06-08	11:40 AM	1:40 PM	Houston Astros	2	Cleveland Guardians	4
2025-06-08	12:10 PM	2:10 PM	Toronto Blue Jays	3	Minnesota Twins	6
2025-06-08	12:10 PM	2:10 PM	Kansas City Royals	7	Chicago White Sox	5
2025-06-08	12:15 PM	2:15 PM	Los Angeles Dodgers	7	St. Louis Cardinals	3
2025-06-08	1:10 PM	3:10 PM	New York Mets	13	Colorado Rockies	5
2025-06-08	2:05 PM	4:05 PM	Baltimore Orioles	1	Athletics	5
2025-06-08	2:05 PM	4:05 PM	Atlanta Braves	3	San Francisco Giants	4
2025-06-08	2:07 PM	4:07 PM	Seattle Mariners	3	Los Angeles Angels	2
2025-06-08	5:10 PM	7:10 PM	Boston Red Sox	11	New York Yankees	7
2025-06-09	4:40 PM	6:40 PM	Cincinnati Reds	7	Cleveland Guardians	4
2025-06-09	4:40 PM	6:40 PM	Miami Marlins	3	Pittsburgh Pirates	10
2025-06-09	4:45 PM	6:45 PM	Chicago Cubs	3	Philadelphia Phillies	4
2025-06-09	5:10 PM	7:10 PM	Tampa Bay Rays	10	Boston Red Sox	8
2025-06-09	5:40 PM	7:40 PM	Atlanta Braves	7	Milwaukee Brewers	1
2025-06-09	5:45 PM	7:45 PM	Toronto Blue Jays	5	St. Louis Cardinals	4
2025-06-09	7:38 PM	9:38 PM	Athletics	4	Los Angeles Angels	7
2025-06-09	7:40 PM	9:40 PM	Los Angeles Dodgers	8	San Diego Padres	7
2025-06-09	7:40 PM	9:40 PM	Seattle Mariners	4	Arizona Diamondbacks	8
2025-06-10	4:35 PM	6:35 PM	Detroit Tigers	5	Baltimore Orioles	3
2025-06-10	4:40 PM	6:40 PM	Cincinnati Reds	1	Cleveland Guardians	0
2025-06-10	4:40 PM	6:40 PM	Miami Marlins	3	Pittsburgh Pirates	2
2025-06-10	4:45 PM	6:45 PM	Chicago Cubs	8	Philadelphia Phillies	4
2025-06-10	5:10 PM	7:10 PM	Washington Nationals	4	New York Mets	5
2025-06-10	5:10 PM	7:10 PM	Tampa Bay Rays	1	Boston Red Sox	3
2025-06-10	5:40 PM	7:40 PM	Texas Rangers	16	Minnesota Twins	4
2025-06-10	5:40 PM	7:40 PM	New York Yankees	10	Kansas City Royals	2
2025-06-10	5:40 PM	7:40 PM	Atlanta Braves	1	Milwaukee Brewers	4
2025-06-10	5:45 PM	7:45 PM	Toronto Blue Jays	10	St. Louis Cardinals	9
2025-06-10	6:10 PM	8:10 PM	Chicago White Sox	4	Houston Astros	2
2025-06-10	6:40 PM	8:40 PM	San Francisco Giants	6	Colorado Rockies	5
2025-06-10	7:38 PM	9:38 PM	Athletics	1	Los Angeles Angels	2
2025-06-10	7:40 PM	9:40 PM	Los Angeles Dodgers	1	San Diego Padres	11
2025-06-10	7:40 PM	9:40 PM	Seattle Mariners	3	Arizona Diamondbacks	10
2025-06-11	10:35 AM	12:35 PM	Miami Marlins	2	Pittsburgh Pirates	5
2025-06-11	11:05 AM	1:05 PM	Chicago Cubs	2	Philadelphia Phillies	7
2025-06-11	11:10 AM	1:10 PM	Cincinnati Reds	2	Cleveland Guardians	11
2025-06-11	12:10 PM	2:10 PM	Atlanta Braves	6	Milwaukee Brewers	2
2025-06-11	12:15 PM	2:15 PM	Toronto Blue Jays	5	St. Louis Cardinals	2
2025-06-11	1:40 PM	3:40 PM	Seattle Mariners	2	Arizona Diamondbacks	5
2025-06-11	2:07 PM	4:07 PM	Athletics	5	Los Angeles Angels	6
2025-06-11	2:10 PM	4:10 PM	Los Angeles Dodgers	5	San Diego Padres	2
2025-06-11	4:35 PM	6:35 PM	Detroit Tigers	1	Baltimore Orioles	10
2025-06-11	5:10 PM	7:10 PM	Washington Nationals	0	New York Mets	5
2025-06-11	5:10 PM	7:10 PM	Tampa Bay Rays	3	Boston Red Sox	4
2025-06-11	5:40 PM	7:40 PM	Texas Rangers	2	Minnesota Twins	6
2025-06-11	5:40 PM	7:40 PM	New York Yankees	6	Kansas City Royals	3
2025-06-11	6:10 PM	8:10 PM	Chicago White Sox	2	Houston Astros	10
2025-06-11	6:40 PM	8:40 PM	San Francisco Giants	10	Colorado Rockies	7
2025-06-12	11:10 AM	1:10 PM	Washington Nationals	3	New York Mets	4
2025-06-12	11:10 AM	1:10 PM	Texas Rangers	16	Minnesota Twins	3
2025-06-12	1:10 PM	3:10 PM	San Francisco Giants	7	Colorado Rockies	8
2025-06-12	4:35 PM	6:35 PM	Detroit Tigers	4	Baltimore Orioles	1
2025-06-12	5:40 PM	7:40 PM	New York Yankees	1	Kansas City Royals	0
2025-06-12	5:40 PM	7:40 PM	St. Louis Cardinals	0	Milwaukee Brewers	6
2025-06-12	6:05 PM	8:05 PM	Pittsburgh Pirates	2	Chicago Cubs	3
2025-06-12	6:10 PM	8:10 PM	Chicago White Sox	3	Houston Astros	4
2025-06-13	12:20 PM	2:20 PM	Pittsburgh Pirates	2	Chicago Cubs	1
2025-06-13	4:45 PM	6:45 PM	Toronto Blue Jays	0	Philadelphia Phillies	8
2025-06-13	4:45 PM	6:45 PM	Miami Marlins	11	Washington Nationals	9
2025-06-13	5:08 PM	7:08 PM	Los Angeles Angels	0	Baltimore Orioles	2
2025-06-13	5:10 PM	7:10 PM	Cincinnati Reds	5	Detroit Tigers	11
2025-06-13	5:10 PM	7:10 PM	Tampa Bay Rays	7	New York Mets	5
2025-06-13	5:10 PM	7:10 PM	New York Yankees	1	Boston Red Sox	2
2025-06-13	5:15 PM	7:15 PM	Colorado Rockies	4	Atlanta Braves	12
2025-06-13	6:05 PM	8:05 PM	Chicago White Sox	1	Texas Rangers	3
2025-06-13	6:10 PM	8:10 PM	Athletics	6	Kansas City Royals	4
2025-06-13	6:10 PM	8:10 PM	Minnesota Twins	3	Houston Astros	10
2025-06-13	6:10 PM	8:10 PM	St. Louis Cardinals	2	Milwaukee Brewers	3
2025-06-13	7:40 PM	9:40 PM	San Diego Padres	1	Arizona Diamondbacks	5
2025-06-13	8:10 PM	10:10 PM	Cleveland Guardians	2	Seattle Mariners	7
2025-06-13	8:10 PM	10:10 PM	San Francisco Giants	6	Los Angeles Dodgers	2
2025-06-14	11:05 AM	1:05 PM	Miami Marlins	4	Washington Nationals	3
2025-06-14	11:10 AM	1:10 PM	Cincinnati Reds	11	Detroit Tigers	1
2025-06-14	12:20 PM	2:20 PM	Pittsburgh Pirates	1	Chicago Cubs	2
2025-06-14	2:05 PM	4:05 PM	Los Angeles Angels	5	Baltimore Orioles	6
2025-06-14	2:05 PM	4:05 PM	Toronto Blue Jays	2	Philadelphia Phillies	3
2025-06-14	2:05 PM	4:05 PM	Chicago White Sox	4	Texas Rangers	5
2025-06-14	2:10 PM	4:10 PM	Athletics	4	Kansas City Royals	0
2025-06-14	2:10 PM	4:10 PM	Tampa Bay Rays	8	New York Mets	4
2025-06-14	2:10 PM	4:10 PM	Minnesota Twins	2	Houston Astros	3
2025-06-14	2:10 PM	4:10 PM	Colorado Rockies	1	Atlanta Braves	4
2025-06-14	2:10 PM	4:10 PM	St. Louis Cardinals	8	Milwaukee Brewers	5
2025-06-14	5:15 PM	7:15 PM	San Diego Padres	7	Arizona Diamondbacks	8
2025-06-14	5:15 PM	7:15 PM	New York Yankees	3	Boston Red Sox	4
2025-06-14	7:40 PM	9:40 PM	Cleveland Guardians	3	Seattle Mariners	4
2025-06-14	8:10 PM	10:10 PM	San Francisco Giants	5	Los Angeles Dodgers	11
2025-06-15	10:05 AM	12:05 PM	Cincinnati Reds	8	Detroit Tigers	4
2025-06-15	11:35 AM	1:35 PM	Los Angeles Angels	2	Baltimore Orioles	11
2025-06-15	11:35 AM	1:35 PM	Toronto Blue Jays	4	Philadelphia Phillies	11
2025-06-15	11:35 AM	1:35 PM	Colorado Rockies	10	Atlanta Braves	1
2025-06-15	11:35 AM	1:35 PM	Miami Marlins	3	Washington Nationals	1
2025-06-15	11:35 AM	1:35 PM	New York Yankees	0	Boston Red Sox	2
2025-06-15	11:40 AM	1:40 PM	Tampa Bay Rays	9	New York Mets	0
2025-06-15	12:10 PM	2:10 PM	Athletics	3	Kansas City Royals	2
2025-06-15	12:10 PM	2:10 PM	Minnesota Twins	1	Houston Astros	2
2025-06-15	12:10 PM	2:10 PM	St. Louis Cardinals	2	Milwaukee Brewers	3
2025-06-15	12:20 PM	2:20 PM	Pittsburgh Pirates	2	Chicago Cubs	3
2025-06-15	12:35 PM	2:35 PM	Chicago White Sox	1	Texas Rangers	2
2025-06-15	2:10 PM	4:10 PM	San Diego Padres	8	Arizona Diamondbacks	2
2025-06-15	2:10 PM	4:10 PM	Cleveland Guardians	0	Seattle Mariners	6
2025-06-15	5:10 PM	7:10 PM	San Francisco Giants	4	Los Angeles Dodgers	5
2025-06-16	4:40 PM	6:40 PM	Philadelphia Phillies	5	Miami Marlins	2
2025-06-16	4:45 PM	6:45 PM	Colorado Rockies	6	Washington Nationals	4
2025-06-16	5:05 PM	7:05 PM	Los Angeles Angels	1	New York Yankees	0
2025-06-16	5:35 PM	7:35 PM	Baltimore Orioles	1	Tampa Bay Rays	7
2025-06-16	7:40 PM	9:40 PM	Boston Red Sox	2	Seattle Mariners	0
2025-06-16	8:05 PM	10:05 PM	Houston Astros	1	Athletics	3
2025-06-16	8:10 PM	10:10 PM	San Diego Padres	3	Los Angeles Dodgers	6
2025-06-17	4:10 PM	6:10 PM	Philadelphia Phillies	3	Miami Marlins	8
2025-06-17	4:40 PM	6:40 PM	Pittsburgh Pirates	3	Detroit Tigers	7
2025-06-17	4:45 PM	6:45 PM	Colorado Rockies	10	Washington Nationals	6
2025-06-17	5:05 PM	7:05 PM	Los Angeles Angels	4	New York Yankees	0
2025-06-17	5:07 PM	7:07 PM	Arizona Diamondbacks	4	Toronto Blue Jays	5
2025-06-17	5:10 PM	7:10 PM	Minnesota Twins	5	Cincinnati Reds	6
2025-06-17	5:15 PM	7:15 PM	New York Mets	4	Atlanta Braves	5
2025-06-17	5:35 PM	7:35 PM	Baltimore Orioles	5	Tampa Bay Rays	1
2025-06-17	5:40 PM	7:40 PM	St. Louis Cardinals	12	Chicago White Sox	2
2025-06-17	6:05 PM	8:05 PM	Kansas City Royals	6	Texas Rangers	1
2025-06-17	6:05 PM	8:05 PM	Milwaukee Brewers	3	Chicago Cubs	5
2025-06-17	7:40 PM	9:40 PM	Boston Red Sox	0	Seattle Mariners	8
2025-06-17	7:45 PM	9:45 PM	Cleveland Guardians	3	San Francisco Giants	2
2025-06-17	8:05 PM	10:05 PM	Houston Astros	13	Athletics	3
2025-06-17	8:10 PM	10:10 PM	San Diego Padres	6	Los Angeles Dodgers	8
2025-06-18	2:10 PM	4:10 PM	Boston Red Sox	3	Seattle Mariners	1
2025-06-18	4:40 PM	6:40 PM	Philadelphia Phillies	4	Miami Marlins	2
2025-06-18	4:45 PM	6:45 PM	Colorado Rockies	3	Washington Nationals	1
2025-06-18	5:05 PM	7:05 PM	Los Angeles Angels	3	New York Yankees	2
2025-06-18	5:07 PM	7:07 PM	Arizona Diamondbacks	1	Toronto Blue Jays	8
2025-06-18	5:10 PM	7:10 PM	Minnesota Twins	2	Cincinnati Reds	4
2025-06-18	5:15 PM	7:15 PM	New York Mets	0	Atlanta Braves	5
2025-06-18	5:35 PM	7:35 PM	Baltimore Orioles	8	Tampa Bay Rays	12
2025-06-18	6:05 PM	8:05 PM	Kansas City Royals	6	Texas Rangers	3
2025-06-18	7:45 PM	9:45 PM	Cleveland Guardians	4	San Francisco Giants	2
2025-06-18	8:05 PM	10:05 PM	Houston Astros	11	Athletics	4
2025-06-18	8:10 PM	10:10 PM	San Diego Padres	3	Los Angeles Dodgers	4
2025-06-19	10:40 AM	12:40 PM	Minnesota Twins	12	Cincinnati Reds	5
2025-06-19	11:05 AM	1:05 PM	Colorado Rockies	3	Washington Nationals	4
2025-06-19	11:05 AM	1:05 PM	Los Angeles Angels	3	New York Yankees	7
2025-06-19	11:10 AM	1:10 PM	Pittsburgh Pirates	2	Detroit Tigers	9
2025-06-19	12:10 PM	2:10 PM	St. Louis Cardinals	5	Chicago White Sox	4
2025-06-19	12:15 PM	2:15 PM	St. Louis Cardinals	8	Chicago White Sox	6
2025-06-19	12:20 PM	2:20 PM	Milwaukee Brewers	8	Chicago Cubs	7
2025-06-19	12:35 PM	2:35 PM	Kansas City Royals	4	Texas Rangers	1
2025-06-19	1:07 PM	3:07 PM	Arizona Diamondbacks	9	Toronto Blue Jays	5
2025-06-19	2:05 PM	4:05 PM	Cleveland Guardians	1	San Francisco Giants	2
2025-06-19	4:10 PM	6:10 PM	Pittsburgh Pirates	8	Detroit Tigers	4
2025-06-19	4:40 PM	6:40 PM	Philadelphia Phillies	2	Miami Marlins	1
2025-06-19	5:15 PM	7:15 PM	New York Mets	1	Atlanta Braves	7
2025-06-19	5:35 PM	7:35 PM	Baltimore Orioles	4	Tampa Bay Rays	1
2025-06-19	8:05 PM	10:05 PM	Houston Astros	4	Athletics	6
2025-06-19	8:10 PM	10:10 PM	San Diego Padres	5	Los Angeles Dodgers	3
2025-06-20	12:20 PM	2:20 PM	Seattle Mariners	9	Chicago Cubs	4
2025-06-20	4:40 PM	6:40 PM	Texas Rangers	6	Pittsburgh Pirates	2
2025-06-20	5:05 PM	7:05 PM	Detroit Tigers	8	Tampa Bay Rays	14
2025-06-20	5:05 PM	7:05 PM	Baltimore Orioles	5	New York Yankees	3
2025-06-20	5:07 PM	7:07 PM	Chicago White Sox	7	Toronto Blue Jays	1
2025-06-20	5:10 PM	7:10 PM	Atlanta Braves	2	Miami Marlins	6
2025-06-20	5:15 PM	7:15 PM	Cincinnati Reds	1	St. Louis Cardinals	6
2025-06-20	5:15 PM	7:15 PM	New York Mets	2	Philadelphia Phillies	10
2025-06-20	6:10 PM	8:10 PM	Milwaukee Brewers	17	Minnesota Twins	6
2025-06-20	6:40 PM	8:40 PM	Arizona Diamondbacks	14	Colorado Rockies	8
2025-06-20	7:38 PM	9:38 PM	Houston Astros	3	Los Angeles Angels	2
2025-06-20	7:40 PM	9:40 PM	Kansas City Royals	6	San Diego Padres	5
2025-06-20	8:05 PM	10:05 PM	Cleveland Guardians	1	Athletics	5
2025-06-20	8:10 PM	10:10 PM	Washington Nationals	5	Los Angeles Dodgers	6
2025-06-20	8:15 PM	10:15 PM	Boston Red Sox	7	San Francisco Giants	5
2025-06-21	10:10 AM	12:10 PM	Detroit Tigers	3	Tampa Bay Rays	8
2025-06-21	11:05 AM	1:05 PM	Baltimore Orioles	0	New York Yankees	9
2025-06-21	12:10 PM	2:10 PM	Milwaukee Brewers	9	Minnesota Twins	0
2025-06-21	12:15 PM	2:15 PM	Cincinnati Reds	5	St. Louis Cardinals	6
2025-06-21	12:20 PM	2:20 PM	Seattle Mariners	7	Chicago Cubs	10
2025-06-21	1:07 PM	3:07 PM	Chicago White Sox	1	Toronto Blue Jays	7
2025-06-21	2:05 PM	4:05 PM	Boston Red Sox	2	San Francisco Giants	3
2025-06-21	2:05 PM	4:05 PM	Texas Rangers	3	Pittsburgh Pirates	2
2025-06-21	2:10 PM	4:10 PM	Atlanta Braves	7	Miami Marlins	0
2025-06-21	5:15 PM	7:15 PM	Kansas City Royals	1	San Diego Padres	5
2025-06-21	5:15 PM	7:15 PM	New York Mets	11	Philadelphia Phillies	4
2025-06-21	7:10 PM	9:10 PM	Arizona Diamondbacks	5	Colorado Rockies	3
2025-06-21	7:38 PM	9:38 PM	Houston Astros	1	Los Angeles Angels	9
2025-06-21	8:05 PM	10:05 PM	Cleveland Guardians	4	Athletics	2
2025-06-21	8:10 PM	10:10 PM	Washington Nationals	7	Los Angeles Dodgers	3
2025-06-22	9:35 AM	11:35 AM	Baltimore Orioles	2	New York Yankees	4
2025-06-22	10:10 AM	12:10 PM	Detroit Tigers	9	Tampa Bay Rays	3
2025-06-22	11:35 AM	1:35 PM	Texas Rangers	3	Pittsburgh Pirates	8
2025-06-22	11:37 AM	1:37 PM	Chicago White Sox	4	Toronto Blue Jays	2
2025-06-22	11:40 AM	1:40 PM	Atlanta Braves	3	Miami Marlins	5
2025-06-22	12:10 PM	2:10 PM	Milwaukee Brewers	9	Minnesota Twins	8
2025-06-22	12:15 PM	2:15 PM	Cincinnati Reds	4	St. Louis Cardinals	1
2025-06-22	12:20 PM	2:20 PM	Seattle Mariners	14	Chicago Cubs	6
2025-06-22	1:10 PM	3:10 PM	Arizona Diamondbacks	2	Colorado Rockies	4
2025-06-22	2:05 PM	4:05 PM	Cleveland Guardians	3	Athletics	0
2025-06-22	2:05 PM	4:05 PM	Boston Red Sox	5	San Francisco Giants	9
2025-06-22	2:07 PM	4:07 PM	Houston Astros	8	Los Angeles Angels	7
2025-06-22	2:10 PM	4:10 PM	Washington Nationals	7	Los Angeles Dodgers	13
2025-06-22	2:10 PM	4:10 PM	Kansas City Royals	2	San Diego Padres	3
2025-06-22	5:10 PM	7:10 PM	New York Mets	1	Philadelphia Phillies	7
2025-06-23	4:35 PM	6:35 PM	Texas Rangers	0	Baltimore Orioles	6
2025-06-23	5:10 PM	7:10 PM	Atlanta Braves	3	New York Mets	2
2025-06-23	5:10 PM	7:10 PM	New York Yankees	1	Cincinnati Reds	6
2025-06-23	5:40 PM	7:40 PM	Seattle Mariners	11	Minnesota Twins	2
2025-06-23	5:40 PM	7:40 PM	Arizona Diamondbacks	10	Chicago White Sox	0
2025-06-23	5:40 PM	7:40 PM	Pittsburgh Pirates	5	Milwaukee Brewers	4
2025-06-23	5:45 PM	7:45 PM	Chicago Cubs	2	St. Louis Cardinals	8
2025-06-23	7:38 PM	9:38 PM	Boston Red Sox	5	Los Angeles Angels	9
2025-06-23	7:40 PM	9:40 PM	Washington Nationals	10	San Diego Padres	6
2025-06-24	4:35 PM	6:35 PM	Texas Rangers	6	Baltimore Orioles	5
2025-06-24	4:40 PM	6:40 PM	Athletics	4	Detroit Tigers	11
2025-06-24	4:40 PM	6:40 PM	Toronto Blue Jays	10	Cleveland Guardians	6
2025-06-24	5:10 PM	7:10 PM	Atlanta Braves	7	New York Mets	4
2025-06-24	5:10 PM	7:10 PM	New York Yankees	4	Cincinnati Reds	5
2025-06-24	5:40 PM	7:40 PM	Tampa Bay Rays	5	Kansas City Royals	1
2025-06-24	5:40 PM	7:40 PM	Seattle Mariners	6	Minnesota Twins	5
2025-06-24	5:40 PM	7:40 PM	Arizona Diamondbacks	4	Chicago White Sox	1
2025-06-24	5:40 PM	7:40 PM	Pittsburgh Pirates	3	Milwaukee Brewers	9
2025-06-24	5:45 PM	7:45 PM	Chicago Cubs	7	St. Louis Cardinals	8
2025-06-24	6:10 PM	8:10 PM	Philadelphia Phillies	0	Houston Astros	1
2025-06-24	6:40 PM	8:40 PM	Los Angeles Dodgers	9	Colorado Rockies	7
2025-06-24	7:38 PM	9:38 PM	Boston Red Sox	2	Los Angeles Angels	3
2025-06-24	7:40 PM	9:40 PM	Washington Nationals	3	San Diego Padres	4
2025-06-24	7:45 PM	9:45 PM	Miami Marlins	4	San Francisco Giants	2
2025-06-25	12:10 PM	2:10 PM	Arizona Diamondbacks	3	Chicago White Sox	7
2025-06-25	12:10 PM	2:10 PM	Pittsburgh Pirates	2	Milwaukee Brewers	4
2025-06-25	2:07 PM	4:07 PM	Boston Red Sox	2	Los Angeles Angels	5
2025-06-25	2:10 PM	4:10 PM	Washington Nationals	0	San Diego Padres	1
2025-06-25	4:35 PM	6:35 PM	Texas Rangers	7	Baltimore Orioles	0
2025-06-25	4:40 PM	6:40 PM	Athletics	3	Detroit Tigers	0
2025-06-25	4:40 PM	6:40 PM	Toronto Blue Jays	4	Cleveland Guardians	5
2025-06-25	5:10 PM	7:10 PM	Atlanta Braves	3	New York Mets	7
2025-06-25	5:10 PM	7:10 PM	New York Yankees	7	Cincinnati Reds	1
2025-06-25	5:40 PM	7:40 PM	Tampa Bay Rays	3	Kansas City Royals	0
2025-06-25	5:40 PM	7:40 PM	Seattle Mariners	0	Minnesota Twins	2
2025-06-25	5:45 PM	7:45 PM	Chicago Cubs	8	St. Louis Cardinals	0
2025-06-25	6:10 PM	8:10 PM	Philadelphia Phillies	0	Houston Astros	2
2025-06-25	6:40 PM	8:40 PM	Los Angeles Dodgers	8	Colorado Rockies	1
2025-06-25	7:45 PM	9:45 PM	Miami Marlins	8	San Francisco Giants	5
2025-06-26	11:10 AM	1:10 PM	Athletics	0	Detroit Tigers	8
2025-06-26	11:10 AM	1:10 PM	Toronto Blue Jays	6	Cleveland Guardians	0
2025-06-26	11:10 AM	1:10 PM	Seattle Mariners	1	Minnesota Twins	10
2025-06-26	12:10 PM	2:10 PM	Tampa Bay Rays	4	Kansas City Royals	0
2025-06-26	12:10 PM	2:10 PM	Philadelphia Phillies	1	Houston Astros	2
2025-06-26	12:15 PM	2:15 PM	Chicago Cubs	3	St. Louis Cardinals	0
2025-06-26	1:10 PM	3:10 PM	Los Angeles Dodgers	3	Colorado Rockies	1
2025-06-26	1:45 PM	3:45 PM	Miami Marlins	12	San Francisco Giants	5
2025-06-26	5:10 PM	7:10 PM	Atlanta Braves	0	New York Mets	4
2025-06-27	4:40 PM	6:40 PM	New York Mets	1	Pittsburgh Pirates	9
2025-06-27	5:05 PM	7:05 PM	Tampa Bay Rays	8	Baltimore Orioles	22
2025-06-27	5:05 PM	7:05 PM	Athletics	0	New York Yankees	3
2025-06-27	5:10 PM	7:10 PM	San Diego Padres	1	Cincinnati Reds	8
2025-06-27	5:10 PM	7:10 PM	St. Louis Cardinals	5	Cleveland Guardians	0
2025-06-27	5:10 PM	7:10 PM	Toronto Blue Jays	9	Boston Red Sox	0
2025-06-27	5:10 PM	7:10 PM	Minnesota Twins	4	Detroit Tigers	1
2025-06-27	5:15 PM	7:15 PM	Philadelphia Phillies	13	Atlanta Braves	0
2025-06-27	5:40 PM	7:40 PM	San Francisco Giants	3	Chicago White Sox	1
2025-06-27	6:05 PM	8:05 PM	Seattle Mariners	7	Texas Rangers	6
2025-06-27	6:10 PM	8:10 PM	Chicago Cubs	4	Houston Astros	7
2025-06-27	6:10 PM	8:10 PM	Los Angeles Dodgers	5	Kansas City Royals	4
2025-06-27	6:10 PM	8:10 PM	Colorado Rockies	6	Milwaukee Brewers	10
2025-06-27	7:38 PM	9:38 PM	Washington Nationals	15	Los Angeles Angels	9
2025-06-27	7:40 PM	9:40 PM	Miami Marlins	9	Arizona Diamondbacks	8
2025-06-28	11:05 AM	1:05 PM	Athletics	7	New York Yankees	0
2025-06-28	11:10 AM	1:10 PM	Minnesota Twins	5	Detroit Tigers	10
2025-06-28	2:05 PM	4:05 PM	New York Mets	2	Pittsburgh Pirates	9
2025-06-28	2:05 PM	4:05 PM	Tampa Bay Rays	11	Baltimore Orioles	3
2025-06-28	2:05 PM	4:05 PM	Seattle Mariners	2	Texas Rangers	3
2025-06-28	2:10 PM	4:10 PM	Los Angeles Dodgers	5	Kansas City Royals	9
2025-06-28	2:10 PM	4:10 PM	San Diego Padres	6	Cincinnati Reds	4
2025-06-28	2:10 PM	4:10 PM	St. Louis Cardinals	9	Cleveland Guardians	6
2025-06-28	2:10 PM	4:10 PM	Toronto Blue Jays	1	Boston Red Sox	15
2025-06-28	2:10 PM	4:10 PM	San Francisco Giants	0	Chicago White Sox	1
2025-06-28	2:10 PM	4:10 PM	Miami Marlins	8	Arizona Diamondbacks	7
2025-06-28	2:10 PM	4:10 PM	Colorado Rockies	0	Milwaukee Brewers	5
2025-06-28	5:15 PM	7:15 PM	Chicago Cubs	12	Houston Astros	3
2025-06-28	5:15 PM	7:15 PM	Philadelphia Phillies	1	Atlanta Braves	6
2025-06-28	7:38 PM	9:38 PM	Washington Nationals	2	Los Angeles Angels	8
2025-06-29	10:05 AM	12:05 PM	St. Louis Cardinals	7	Cleveland Guardians	0
2025-06-29	11:35 AM	1:35 PM	New York Mets	1	Pittsburgh Pirates	12
2025-06-29	11:35 AM	1:35 PM	Tampa Bay Rays	1	Baltimore Orioles	5
2025-06-29	11:35 AM	1:35 PM	Toronto Blue Jays	5	Boston Red Sox	3
2025-06-29	11:35 AM	1:35 PM	Philadelphia Phillies	2	Atlanta Braves	1
2025-06-29	11:35 AM	1:35 PM	Athletics	5	New York Yankees	12
2025-06-29	11:40 AM	1:40 PM	San Diego Padres	2	Cincinnati Reds	3
2025-06-29	12:10 PM	2:10 PM	Chicago Cubs	0	Houston Astros	2
2025-06-29	12:10 PM	2:10 PM	Los Angeles Dodgers	5	Kansas City Royals	1
2025-06-29	12:10 PM	2:10 PM	San Francisco Giants	2	Chicago White Sox	5
2025-06-29	12:10 PM	2:10 PM	Colorado Rockies	4	Milwaukee Brewers	3
2025-06-29	12:35 PM	2:35 PM	Seattle Mariners	6	Texas Rangers	4
2025-06-29	2:07 PM	4:07 PM	Washington Nationals	7	Los Angeles Angels	4
2025-06-29	2:10 PM	4:10 PM	Miami Marlins	6	Arizona Diamondbacks	4
2025-06-29	5:10 PM	7:10 PM	Minnesota Twins	0	Detroit Tigers	3
2025-06-30	4:35 PM	6:35 PM	San Diego Padres	0	Philadelphia Phillies	4
2025-06-30	4:40 PM	6:40 PM	St. Louis Cardinals	0	Pittsburgh Pirates	7
2025-06-30	5:07 PM	7:07 PM	New York Yankees	4	Toronto Blue Jays	5
2025-06-30	5:10 PM	7:10 PM	Cincinnati Reds	6	Boston Red Sox	13
2025-06-30	5:35 PM	7:35 PM	Athletics	6	Tampa Bay Rays	4
2025-06-30	6:05 PM	8:05 PM	Baltimore Orioles	10	Texas Rangers	6
2025-06-30	7:40 PM	9:40 PM	Kansas City Royals	2	Seattle Mariners	6
2025-06-30	7:40 PM	9:40 PM	San Francisco Giants	2	Arizona Diamondbacks	4
2025-07-01	1:07 PM	3:07 PM	New York Yankees	5	Toronto Blue Jays	12
2025-07-01	4:40 PM	6:40 PM	St. Louis Cardinals	0	Pittsburgh Pirates	1
2025-07-01	4:40 PM	6:40 PM	Minnesota Twins	0	Miami Marlins	2
2025-07-01	5:05 PM	7:05 PM	Athletics	4	Tampa Bay Rays	3
2025-07-01	5:10 PM	7:10 PM	Cincinnati Reds	3	Boston Red Sox	5
2025-07-01	5:15 PM	7:15 PM	Los Angeles Angels	4	Atlanta Braves	0
2025-07-01	6:05 PM	8:05 PM	Cleveland Guardians	2	Chicago Cubs	5
2025-07-01	6:05 PM	8:05 PM	Baltimore Orioles	2	Texas Rangers	10
2025-07-01	6:40 PM	8:40 PM	Houston Astros	6	Colorado Rockies	5
2025-07-01	7:40 PM	9:40 PM	Kansas City Royals	6	Seattle Mariners	3
2025-07-01	7:40 PM	9:40 PM	San Francisco Giants	2	Arizona Diamondbacks	8
2025-07-01	8:10 PM	10:10 PM	Chicago White Sox	1	Los Angeles Dodgers	6
2025-07-02	10:10 AM	12:10 PM	Athletics	5	Tampa Bay Rays	6
2025-07-02	10:35 AM	12:35 PM	St. Louis Cardinals	0	Pittsburgh Pirates	5
2025-07-02	11:05 AM	1:05 PM	Detroit Tigers	11	Washington Nationals	2
