iter	Passed	Remaining
0	1	285
1	3	334
2	4	305
3	5	293
4	6	270
5	8	289
6	10	281
7	11	267
8	12	269
9	14	267
10	15	266
11	17	267
12	17	251
13	18	244
14	19	237
15	20	234
16	21	233
17	22	228
18	23	223
19	26	236
20	26	227
