iter	RMSE
0	2.313727157
1	2.304861842
2	2.297924729
3	2.295295539
4	2.291941225
5	2.290043067
6	2.286947152
7	2.277756926
8	2.271195229
9	2.265244565
10	2.263869688
11	2.258457975
12	2.257934652
13	2.254284048
14	2.25195678
15	2.250052463
16	2.245863076
17	2.240342063
18	2.237551116
19	2.235453979
20	2.234794551
